Região Geográfica,UF,Regional de Saúde,Município,Código IBGE,Tipo da Instituição,Sigla da Instituição,Nome da Instituição,CNPJ da Instituição,Nome do escritório regional/local,CNPJ do escritório regional/local,Tipo da Forma de Abastecimento,Código Forma de abastecimento,Nome da Forma de Abastecimento,Nome da ETA / UTA,Ano de referência,Mês de referência,Data de registro ,Data de preenchimento do relatório mensal,Data da coleta,Tipo de captação,Categoria do manancial superficial,Nome do manancial superficial,Categoria do ponto de captação subterrânea,Nome do ponto de captação subterrânea,Parâmetro,Unidade,Resultado
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2014,11,2015/01/22 00:00:00.000,2014-11-30,2014-11-13,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,5,2015/01/20 00:00:00.000,2014-05-31,2014-05-05,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,72
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,2,2015/01/19 00:00:00.000,2014-02-28,2014-02-11,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,258
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,3,2015/01/19 00:00:00.000,2014-03-31,2014-03-06,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,87
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,6,2015/01/21 00:00:00.000,2014-06-30,2014-06-02,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,147
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,6,2015/01/21 00:00:00.000,2014-06-30,2014-06-24,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,107
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,4,2015/01/20 00:00:00.000,2014-04-30,2014-04-22,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,18
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2014,11,2015/01/22 00:00:00.000,2014-11-30,2014-11-03,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2014,5,2015/01/20 00:00:00.000,2014-05-31,2014-05-20,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,30
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2014,8,2015/01/21 00:00:00.000,2014-08-31,2014-08-19,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2014,7,2015/01/21 00:00:00.000,2014-07-31,2014-07-02,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2014,9,2015/01/22 00:00:00.000,2014-09-30,2014-09-23,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,71
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2014,10,2015/01/22 00:00:00.000,2014-10-31,2014-10-21,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2015,1,2015/05/11 00:00:00.000,2015-01-31,2015-01-26,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,54
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2015,4,2015/08/11 00:00:00.000,2015-04-30,2015-04-23,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,93
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2015,3,2015/08/07 00:00:00.000,2015-03-31,2015-03-03,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,45
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2015,6,2015/08/11 00:00:00.000,2015-06-30,2015-06-11,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,49
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2015,11,2016/04/13 00:00:00.000,2015-11-30,2015-11-16,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,213
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,6,2015/08/11 00:00:00.000,2015-06-30,2015-06-11,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,54
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,3,2015/08/06 00:00:00.000,2015-03-31,2015-03-23,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,13
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,5,2015/08/11 00:00:00.000,2015-05-31,2015-05-25,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,92
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,4,2015/08/11 00:00:00.000,2015-04-30,2015-04-22,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,19
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,10,2015/12/15 00:00:00.000,2015-10-31,2015-10-10,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,18
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,10,2015/12/15 00:00:00.000,2015-10-31,2015-10-16,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,16
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,9,2015/12/15 00:00:00.000,2015-09-30,2015-09-10,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,18
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,11,2016/04/13 00:00:00.000,2015-11-30,2015-11-23,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,188
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,12,2016/04/13 00:00:00.000,2015-12-31,2015-12-21,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,117
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,2,2015/05/12 00:00:00.000,2015-02-28,2015-02-24,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,3,2015/07/17 00:00:00.000,2015-06-17,2015-03-09,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,2
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,7,2015/11/18 00:00:00.000,2015-07-31,2015-07-28,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,12,2016/01/20 00:00:00.000,2015-12-31,2015-12-07,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,16
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,10,2016/04/13 00:00:00.000,2015-11-30,2015-10-19,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,2,2015/05/12 00:00:00.000,2015-02-28,2015-02-19,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,36
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,7,2015/09/24 00:00:00.000,2015-07-31,2015-07-29,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,6,2015/11/16 00:00:00.000,2015-06-30,2015-06-17,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,3
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,8,2015/12/14 00:00:00.000,2015-08-31,2015-08-10,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,5
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,8,2015/12/14 00:00:00.000,2015-08-31,2015-08-14,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,14
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,10,2016/03/07 00:00:00.000,2015-10-31,2015-10-21,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,11,2016/04/13 00:00:00.000,2015-11-30,2015-11-18,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,102
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2015,1,2015/05/11 00:00:00.000,2015-01-31,2015-01-19,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,16
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2015,8,2015/12/10 00:00:00.000,2015-08-31,2015-08-10,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,2
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,3,2016/05/12 00:00:00.000,2016-05-12,2016-03-21,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,74
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,2,2016/05/09 00:00:00.000,2016-05-09,2016-02-03,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,1778
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,4,2016/05/27 00:00:00.000,2016-05-27,2016-04-18,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,6
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,5,2016/06/16 00:00:00.000,2016-06-16,2016-05-17,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,41
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,7,2016/08/15 00:00:00.000,2016-08-15,2016-07-04,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,25
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,9,2016/10/28 00:00:00.000,2016-10-28,2016-09-14,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,20
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,12,2017/02/07 00:00:00.000,2017-02-07,2016-12-19,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,188
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,12,2017/02/07 00:00:00.000,2017-02-07,2016-12-27,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,55
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2016,3,2016/05/12 00:00:00.000,2016-05-12,2016-03-31,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,13
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2016,2,2016/05/10 00:00:00.000,2016-05-10,2016-02-24,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,130
